Rótulo,# Amostras,Média,Mín.,Máx.,Desvio Padrão,% de Erro,Vazão,KB/s,Sent KB/sec,Média de Bytes
GET USERS,300,280,115,1638,"268,22","0,000%","1,50607","3,21","0,19","2181,9"
POST,100,405,281,544,"64,25","0,000%","11,62250","12,36","2,69","1089,2"
DELETE,100,399,279,502,"61,78","0,000%","11,64280","11,30","2,36","994,2"
POST USERS,200,396,281,558,"64,69","0,000%","3,11308","3,31","0,72","1088,4"
DELETE USERS,200,393,277,528,"64,65","0,000%","3,11454","3,02","0,63","993,2"
Teste de Carga:GET USERS,400,273,111,852,"148,11","0,000%",",29119","0,62","0,04","2181,9"
Teste de Carga:POST USERS,400,377,283,564,"68,02","0,000%",",29118","0,31","0,07","1086,3"
Teste de Carga:DELETE USERS,400,372,276,510,"67,28","0,000%",",29122","0,28","0,06","991,3"
TOTAL,2100,348,111,1638,"141,57","0,000%",",74311","1,03","0,14","1420,5"
